epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.4679,2.26442,3.80625,0.04344,0.0017,0.44665,0.22589,0.11363,1.72748,4.14152,0.02105,0.0001667,0.0001667,0.0001667
2,40.5985,1.77636,3.47122,0.02976,0.002,0.48153,0.31036,0.23193,1.81312,3.92838,0.02508,0.000346604,0.000346604,0.000346604
3,60.3987,1.71049,2.983,0.02637,0.0022,0.50479,0.31781,0.18858,1.75805,3.82929,0.0229,0.000522878,0.000522878,0.000522878
4,80.3059,1.70611,2.52846,0.02477,0.00372,0.72572,0.24811,0.16235,1.8011,3.51433,0.02119,0.000695521,0.000695521,0.000695521
5,99.8397,1.73996,2.08299,0.02361,0.00341,0.71409,0.41497,0.27703,1.87079,3.11253,0.02466,0.000864533,0.000864533,0.000864533
6,119.181,1.72297,1.97348,0.02438,0.37678,0.34757,0.2982,0.18945,1.75937,3.07809,0.02181,0.00102991,0.00102991,0.00102991
7,138.492,1.66277,1.85649,0.02312,0.50079,0.34169,0.32544,0.19357,1.7574,2.80363,0.02269,0.00119166,0.00119166,0.00119166
8,157.613,1.64872,1.79525,0.02328,0.72075,0.24598,0.33425,0.19129,1.86274,2.76178,0.02398,0.00134978,0.00134978,0.00134978
9,176.834,1.65575,1.75541,0.0233,0.32264,0.18673,0.16786,0.07782,2.0347,2.66157,0.0265,0.00150427,0.00150427,0.00150427
10,195.845,1.65874,1.6627,0.02223,0.44402,0.31601,0.3156,0.20545,1.81608,2.38041,0.02522,0.00151847,0.00151847,0.00151847
11,215.006,1.65835,1.64639,0.02217,0.36929,0.38646,0.32639,0.21278,2.0543,2.23098,0.02753,0.00150197,0.00150197,0.00150197
12,234.293,1.6905,1.63881,0.02384,0.6646,0.47469,0.43315,0.29956,2.07774,2.0975,0.03022,0.00148546,0.00148546,0.00148546
13,253.366,1.67156,1.5863,0.023,0.61263,0.42202,0.44434,0.32892,1.95794,2.05546,0.02733,0.00146896,0.00146896,0.00146896
14,272.488,1.64717,1.487,0.02317,0.61331,0.48085,0.50965,0.38738,1.87038,1.89964,0.02435,0.00145246,0.00145246,0.00145246
15,291.537,1.63928,1.50187,0.02206,0.58555,0.49645,0.48208,0.3631,1.79145,2.05537,0.02454,0.00143595,0.00143595,0.00143595
16,310.86,1.54758,1.48471,0.02184,0.64888,0.52189,0.53452,0.41517,1.76662,1.76013,0.02472,0.00141945,0.00141945,0.00141945
17,330.457,1.63041,1.49869,0.02146,0.69715,0.55677,0.51757,0.38336,1.87114,1.78137,0.02523,0.00140295,0.00140295,0.00140295
18,349.526,1.68633,1.39278,0.02233,0.56241,0.4954,0.50629,0.38025,1.75383,1.90643,0.02247,0.00138644,0.00138644,0.00138644
19,368.398,1.56194,1.39416,0.02113,0.63994,0.53608,0.49102,0.37007,1.86015,1.84608,0.02403,0.00136994,0.00136994,0.00136994
20,387.539,1.54754,1.4154,0.02083,0.49377,0.52189,0.50865,0.38405,1.78511,1.78907,0.02455,0.00135344,0.00135344,0.00135344
21,406.619,1.63115,1.40486,0.02003,0.71728,0.53303,0.54161,0.38421,1.93243,1.655,0.02608,0.00133693,0.00133693,0.00133693
22,425.984,1.58133,1.35404,0.02056,0.74844,0.50148,0.53739,0.38953,1.81634,1.63627,0.02399,0.00132043,0.00132043,0.00132043
23,445.204,1.5511,1.32715,0.02002,0.74855,0.54348,0.55457,0.38592,1.95239,1.60942,0.02388,0.00130393,0.00130393,0.00130393
24,464.526,1.5406,1.24315,0.0206,0.69628,0.50745,0.54521,0.39628,1.95052,1.61452,0.0254,0.00128742,0.00128742,0.00128742
25,483.616,1.50086,1.26762,0.01909,0.67203,0.58608,0.57341,0.4117,1.86557,1.56795,0.02399,0.00127092,0.00127092,0.00127092
26,507.351,1.55437,1.26059,0.01988,0.60692,0.51026,0.50748,0.34302,1.91443,1.83781,0.02567,0.00125442,0.00125442,0.00125442
27,534.994,1.54738,1.24258,0.02107,0.83091,0.43434,0.51648,0.34874,1.9391,1.84468,0.02621,0.00123791,0.00123791,0.00123791
28,566.939,1.53451,1.20725,0.01959,0.58487,0.53352,0.53096,0.38621,1.85935,1.76524,0.02376,0.00122141,0.00122141,0.00122141
29,598.706,1.52351,1.24948,0.01944,0.61121,0.49062,0.50419,0.39184,1.73634,1.80843,0.0238,0.00120491,0.00120491,0.00120491
30,630.935,1.56417,1.26289,0.01955,0.77028,0.53256,0.53311,0.41024,1.69671,1.67521,0.02271,0.0011884,0.0011884,0.0011884
31,663.12,1.4483,1.18544,0.01858,0.73799,0.51573,0.5478,0.40598,1.82348,1.6204,0.02379,0.0011719,0.0011719,0.0011719
32,695.515,1.49407,1.23422,0.01965,0.87832,0.5041,0.55411,0.40207,1.82994,1.70743,0.02454,0.0011554,0.0011554,0.0011554
33,727.287,1.48267,1.1866,0.0189,0.82197,0.49192,0.53891,0.39712,1.78525,1.7559,0.02506,0.00113889,0.00113889,0.00113889
34,748.714,1.4696,1.17422,0.01792,0.72265,0.46791,0.50657,0.38723,1.79374,1.7165,0.02343,0.00112239,0.00112239,0.00112239
35,768.08,1.57538,1.21124,0.01963,0.66114,0.51787,0.53438,0.39117,1.68927,1.6965,0.02233,0.00110589,0.00110589,0.00110589
36,787.669,1.56498,1.1988,0.02065,0.76954,0.52242,0.56484,0.40298,1.84485,1.72978,0.0239,0.00108938,0.00108938,0.00108938
